DateTime	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	Hs	Tp	Dir	
2011-01-01 03:00:00	1.43	5.08	108.97	1.52	5.18	101.26	1.50	5.17	 96.19	0.90	4.92	 86.83	0.66	4.84	 74.80	0.74	5.02	 61.54	0.95	9.44	 97.05	1.40	9.30	 91.54	1.65	9.01	 86.14	1.95	8.93	 80.69	1.98	8.90	 74.68	1.83	8.81	 60.84	1.67	8.91	 70.29	2.31	9.02	 61.05	2.27	8.99	 60.18	2.34	8.95	 59.71	2.32	8.93	 59.11	2.60	8.96	 54.44	2.72	8.91	 53.04	2.33	8.92	 64.58	2.77	8.55	 60.61	2.49	8.15	 61.01	2.67	8.00	 64.71	1.87	7.90	 78.72	2.05	7.77	 71.14	2.28	8.03	 72.54	1.80	7.86	 71.55	1.20	4.96	 79.95	1.37	5.14	 80.48	0.84	4.21	 95.19	0.28	3.80	113.48	0.32	3.17	 26.55	0.56	3.15	 33.70	
2011-01-01 06:00:00	1.63	5.18	105.16	1.64	5.34	101.49	1.64	5.44	 98.70	0.91	5.14	 86.79	0.66	4.84	 75.30	0.73	4.92	 65.61	0.95	9.43	 96.11	1.48	9.28	 90.35	1.74	9.05	 84.99	2.00	9.00	 79.42	1.98	8.98	 73.35	1.82	8.94	 60.27	1.64	9.00	 68.32	2.28	9.09	 59.45	2.23	9.07	 58.62	2.30	9.06	 58.19	2.31	9.04	 57.61	2.57	9.05	 53.26	2.70	9.01	 51.99	2.31	8.97	 63.94	2.77	8.67	 66.96	2.51	8.04	 60.90	2.73	7.95	 65.05	1.96	7.51	 73.27	2.08	7.48	 71.20	2.28	7.92	 72.35	1.78	7.51	 71.10	1.20	4.89	 78.59	1.37	5.10	 80.16	0.79	4.12	 98.80	0.23	3.84	105.96	0.33	3.17	 25.76	0.48	3.11	 36.93	
2011-01-01 09:00:00	1.58	5.36	106.04	1.58	5.58	101.95	1.60	5.62	 99.23	0.92	5.21	 86.89	0.64	5.05	 79.44	0.70	4.93	 72.29	0.96	9.41	 95.18	1.52	9.21	 89.28	1.81	9.05	 83.95	2.05	9.01	 78.27	1.99	9.02	 71.98	1.81	8.98	 58.56	1.62	9.04	 68.11	2.26	9.13	 58.15	2.21	9.12	 57.27	2.27	9.12	 56.90	2.29	9.11	 56.40	2.55	9.11	 52.25	2.68	9.07	 50.99	2.29	9.03	 63.12	2.73	8.77	 67.26	2.50	7.94	 61.22	2.78	7.84	 60.64	2.09	7.32	 74.08	2.16	7.45	 71.86	2.31	7.88	 71.11	1.81	7.46	 70.93	1.23	4.95	 78.91	1.43	5.09	 80.14	0.80	4.04	 95.19	0.23	3.87	 98.00	0.27	3.16	 25.52	0.29	3.07	 35.79	
2011-01-01 12:00:00	1.43	5.32	109.24	1.43	5.55	 99.61	1.43	5.66	 99.24	0.91	5.29	 86.76	0.64	5.25	 81.56	0.70	5.32	 79.90	0.99	5.69	 96.51	1.53	9.07	 88.44	1.83	8.98	 83.13	2.07	8.98	 77.36	2.00	9.02	 70.98	1.81	9.00	 58.43	1.62	9.08	 66.73	2.29	9.20	 57.42	2.21	9.17	 56.29	2.27	9.16	 55.81	2.26	9.15	 55.31	2.53	9.14	 51.23	2.66	9.11	 49.91	2.25	9.07	 62.45	2.64	8.88	 66.36	2.35	7.97	 62.08	2.68	7.71	 60.85	2.09	7.36	 74.15	2.17	7.43	 71.85	2.27	7.93	 72.89	1.74	7.64	 71.46	1.21	4.94	 79.62	1.45	5.12	 80.25	0.91	4.13	100.31	0.27	4.16	117.49	0.20	3.16	 24.53	0.17	3.00	 44.67	
2011-01-01 15:00:00	1.40	5.20	112.09	1.38	5.46	 97.77	1.29	5.63	 98.56	0.86	5.36	 86.74	0.67	5.34	 83.54	0.72	5.95	 86.53	1.04	5.70	 97.87	1.58	5.45	100.38	1.83	6.20	 88.17	2.07	8.96	 76.75	2.02	9.06	 70.27	1.85	9.07	 57.42	1.66	9.19	 67.27	2.38	9.42	 57.54	2.26	9.30	 55.88	2.29	9.24	 55.11	2.25	9.20	 54.41	2.54	9.23	 50.34	2.63	9.16	 48.77	2.21	9.09	 61.47	2.57	8.94	 66.17	2.21	8.41	 63.28	2.55	7.52	 60.36	2.01	7.25	 73.75	2.16	7.25	 71.25	2.22	7.72	 71.64	1.67	7.67	 71.71	1.19	4.79	 79.77	1.43	5.11	 80.58	0.99	4.26	 99.13	0.47	4.10	116.75	0.18	3.17	 32.91	0.10	2.95	 49.33	
2011-01-01 18:00:00	1.44	5.18	113.94	1.34	5.45	 97.92	1.19	5.61	 97.47	0.80	5.40	 84.95	0.68	5.39	 86.78	0.74	5.72	 88.66	1.12	5.55	 98.75	1.63	5.53	101.30	1.80	6.29	 87.84	2.04	9.09	 76.37	2.06	9.24	 70.05	1.93	9.33	 58.07	1.75	9.80	 66.94	2.53	10.09	 58.49	2.37	9.97	 56.50	2.37	9.61	 54.97	2.29	9.41	 53.92	2.58	9.62	 49.04	2.64	9.37	 47.86	2.15	9.11	 60.58	2.50	8.97	 64.90	2.13	8.74	 67.76	2.43	7.36	 59.88	1.91	6.94	 71.75	2.16	6.99	 69.72	2.26	7.44	 70.92	1.72	6.28	 69.81	1.24	4.82	 78.91	1.41	5.08	 79.79	0.99	4.28	 96.65	0.55	3.21	108.60	0.39	2.70	120.05	0.11	2.89	 70.69	
2011-01-01 21:00:00	1.55	5.20	114.69	1.28	5.35	102.85	1.11	5.59	 97.18	0.75	5.40	 85.25	0.68	5.41	 88.49	0.77	5.57	 90.29	1.19	5.53	 99.52	1.65	11.25	 91.65	1.78	10.95	 85.13	2.05	10.72	 80.60	2.10	10.02	 70.25	1.98	9.98	 60.10	1.82	10.05	 67.92	2.66	10.12	 58.65	2.49	10.13	 56.74	2.47	10.12	 55.17	2.36	10.05	 53.52	2.64	10.08	 49.39	2.67	9.97	 46.97	2.15	9.23	 59.65	2.47	9.02	 64.45	2.09	8.73	 67.21	2.33	7.22	 59.29	1.75	6.73	 71.89	2.06	6.82	 69.13	2.27	7.29	 70.39	1.80	6.57	 69.67	1.31	4.97	 78.23	1.44	5.08	 78.32	1.00	4.24	 93.70	0.56	3.26	101.35	0.36	2.88	105.59	0.11	2.92	124.73	
2011-01-02 00:00:00	1.73	5.38	115.24	1.35	5.20	106.01	1.10	5.52	 97.95	0.72	5.38	 86.53	0.69	5.41	 90.43	0.82	5.52	 92.40	1.25	11.72	100.14	1.69	11.55	 97.04	1.79	11.02	 85.19	2.06	10.61	 80.65	2.13	10.09	 70.61	2.02	10.04	 60.91	1.85	10.08	 67.32	2.71	10.13	 58.69	2.57	10.12	 56.88	2.55	10.14	 55.30	2.43	10.14	 53.67	2.69	10.12	 49.67	2.71	10.11	 47.33	2.18	9.81	 62.58	2.50	9.17	 63.40	2.16	7.23	 55.14	2.37	7.06	 56.27	1.71	6.49	 68.09	2.02	6.70	 68.67	2.25	7.18	 69.86	1.83	6.73	 69.20	1.35	5.07	 77.59	1.49	5.12	 78.18	1.00	4.25	 92.06	0.59	3.35	102.84	0.38	2.87	 95.31	0.79	2.57	 71.22	
2011-01-02 03:00:00	1.82	5.58	116.36	1.50	5.28	106.32	1.21	5.35	102.35	0.71	5.33	 88.70	0.71	5.40	 93.19	0.86	5.49	 93.94	1.27	11.75	100.60	1.74	11.47	 92.09	1.84	10.87	 85.27	2.10	10.44	 77.75	2.15	10.10	 70.77	2.01	10.08	 60.13	1.85	10.12	 68.32	2.72	10.17	 58.82	2.60	10.15	 56.98	2.61	10.15	 55.31	2.48	10.15	 53.74	2.73	10.12	 49.78	2.74	10.11	 47.53	2.22	10.06	 62.73	2.53	9.87	 61.61	2.18	6.92	 50.46	2.46	7.06	 56.76	1.80	6.49	 67.95	2.09	6.71	 68.75	2.28	7.15	 68.50	1.85	6.72	 68.89	1.38	5.12	 77.46	1.50	5.17	 78.77	1.00	4.26	 91.53	0.55	3.39	101.74	0.38	2.88	 78.12	0.48	3.17	 66.65	
2011-01-02 06:00:00	1.71	5.58	112.43	1.56	5.54	101.49	1.36	5.51	100.42	0.78	5.24	 90.61	0.71	5.38	 95.76	0.86	5.43	 95.43	1.25	11.71	100.78	1.72	11.19	 92.22	1.86	10.69	 85.27	2.11	10.37	 77.94	2.15	10.11	 70.95	2.01	10.12	 61.00	1.85	10.17	 67.63	2.72	10.22	 59.00	2.60	10.20	 57.22	2.63	10.18	 55.58	2.52	10.17	 53.84	2.76	10.14	 49.90	2.78	10.13	 47.52	2.25	10.08	 62.94	2.58	9.98	 61.75	2.23	6.79	 51.23	2.46	7.00	 57.49	1.85	6.61	 71.31	2.05	6.84	 69.09	2.20	7.24	 69.24	1.76	6.66	 68.13	1.31	5.11	 76.90	1.43	5.16	 77.66	0.92	4.29	 93.37	0.39	3.51	104.88	0.27	2.90	 69.28	0.27	3.08	 64.59	
